food_name,"Thiamin, mg","Riboflavin, mg","Folate, total, µg","Protein, g","Ash, g","Fructose, g","Lactose, g","Energy, kJ","Fiber, total dietary, g","Iron, Fe, mg","Magnesium, Mg, mg","Phosphorus, P, mg","Sodium, Na, mg","Copper, Cu, mg","Manganese, Mn, mg","Niacin, mg","Vitamin B-6, mg","Total lipid (fat), g","Carbohydrate, by difference, g","Energy, kcal","Sucrose, g","Glucose, g","Maltose, g","Water, g","Calcium, Ca, mg","Potassium, K, mg","Zinc, Zn, mg","Selenium, Se, Âµg","Nitrogen, g","Sugars, Total, g"
"Hummus, commercial",0.15,0.115,36,7.35,1.97,0.15,0,960,5.4,2.41,71.1,166,438,0.348,1.06,0.948,0.143,17.1,14.9,229,0.18,0,0,58.7,41,289,1.38,16.2,1.18,0.34
"Tomatoes, grape, raw",0.075,0.065,10,0.83,0.56,0,0,113,2.1,0.33,11.9,28,6,0.058,0.121,0.805,0.06,0.63,5.51,27,0,0,0,92.5,11,260,0.2,0,0.13,0
"Beans, snap, green, canned, regular pack, drained solids",0,0,0,1.04,0.89,0.64,0,86,0,0.78,12.7,23,282,0.041,0.176,0,0,0.39,4.11,21,0,0.65,0,93.6,36,97,0.19,0,0.17,1.29
"Frankfurter, beef, unheated",0.033,0.154,0,11.7,2.74,0,0,1310,0,1.14,11.5,128,872,0.046,0.031,2.25,0.13,28,2.89,314,0,1.17,0.09,54.6,15,343,2.06,0,1.87,1.26
"Nuts, almonds, dry roasted, with salt added",0.079,1.57,35,20.4,3.47,0,0,2590,11,3.17,258,456,256,0.87,2.02,3.1,0.075,57.8,16.2,620,4.17,0,0,2.2,273,684,2.8,0,3.94,4.17
"Kale, raw",0.113,0.347,62,2.92,1.54,0.4,0,148,4.1,1.6,32.7,55,53,0.053,0.92,1.18,0.147,1.49,4.42,35,0,0.4,0,89.6,254,348,0.39,0,0.47,0.8
"Egg, whole, raw, frozen, pasteurized",0,0,0,12.3,1.16,0,0,627,0,1.77,11.2,189,121,0,0,0,0,10.3,0.91,150,0,0,0,75.4,55,117,1.2,0,1.97,0
"Egg, white, raw, frozen, pasteurized",0,0,0,10.1,0.7,0,0,201,0,0.18,10.6,0,144,0,0,0,0,0.16,0.74,48,0,0,0,88.3,9,130,0.02,0,1.61,0
"Egg, white, dried",0,0,0,79.9,5.47,0,0,1570,0,0,87.6,107,1250,0,0,0,0,0.65,6.02,376,0,0,0,7.98,104,959,0.43,0,12.8,0
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",0.196,0.116,31,4.52,1.44,1.21,0.03,1210,2.4,1.14,20.4,75,374,0.081,0.435,1.57,0.127,14.4,36.3,288,1.34,1.2,0.71,43.4,28,135,0.59,5.6,0.74,4.5
"Pickles, cucumber, dill or kosher dill",0.047,0.057,8,0.48,2.44,0.65,0,50,1,0.23,7.1,16,808,0.026,0.056,0.109,0.034,0.43,1.99,12,0,0.63,0,94.7,54,112,0.11,0,0.08,1.28
"Cheese, parmesan, grated",0.027,0.345,6,29.6,7.15,0,0,1760,0,0.45,34.9,634,1750,0.04,0.066,0.078,0.081,28,12.4,421,0,0,0,22.8,884,184,4.33,35,4.63,0.07
"Cheese, pasteurized process, American, vitamin D fortified",0.015,0.247,0,18,6.59,0,2.5,1530,0,0.48,25.1,540,1660,0.046,0.038,0.095,0.056,30.6,5.27,366,0,0,0,39.6,866,149,2.42,20.4,2.82,2.63
"Grapefruit juice, white, canned or bottled, unsweetened",0.062,0.02,12,0.55,0.29,3.32,0,157,0.2,0.07,9.6,17,1,0.032,0.02,0.253,0,0.7,7.59,37,1.17,3.22,0,90.9,16,141,0.04,0,0.09,7.72
"Peaches, yellow, raw",0.024,0.031,6,0.91,0.43,1.53,0,174,1.5,0.34,8,22,13,0.078,0.026,0.806,0.025,0.27,10.1,42,4.76,1.95,0.08,88.3,4,122,0.23,2.1,0.15,8.39
"Seeds, sunflower seed kernels, dry roasted, with salt added",0.473,0.507,169,21,4.3,0,0,2560,10.3,5.21,358,750,532,1.83,2.89,6.96,0.76,56.1,17.1,612,3.14,0,0,1.5,78,689,6,80.4,3.96,3.14
"Bread, white, commercially prepared",0.507,0.24,0,9.43,2.1,2.28,0.06,1130,2.3,3.36,26.9,113,477,0.124,0.632,4.76,0.092,3.59,49.2,270,0,1.44,1.56,35.7,211,117,0.88,23.2,1.51,5.34
"Kale, frozen, cooked, boiled, drained, without salt",0.063,0.14,65,2.94,0.73,0.42,0,151,0,0.84,25,42,16,0.067,0.542,0.457,0.063,1.21,5.3,36,0.16,0.54,0,89.8,150,144,0.27,0,0.47,1.12
"Mustard, prepared, yellow",0.189,0.066,7,4.25,3.37,0.23,0,254,4.3,1.59,47.7,108,1100,0.074,0.42,0.561,0.069,3.38,5.3,61,0.2,0.48,0,83.7,63,150,0.64,34,0.68,1.42
"Kiwifruit, green, raw",0.027,0.025,26,1.06,0.63,4.35,0.02,241,3,0.24,15.7,34,5,0.134,0.064,0.37,0.061,0.44,14,58,0.15,4.11,0.19,83.9,35,198,0.14,0.2,0.17,8.99
"Nectarines, raw",0.034,0.027,6,1.06,0.48,1.39,0,163,1.5,0.3,8.8,26,13,0.082,0.047,1.12,0.025,0.28,9.18,39,4.83,1.67,0,89,2,131,0.21,0,0.17,7.89
"Cheese, cheddar",0.029,0.441,21,23.3,3.67,0,0.16,1710,0,0.16,26.8,458,654,0.033,0.026,0.052,0.069,34,2.44,408,0,0.1,0,36.6,707,77,3.67,28.3,3.65,0.33
"Cheese, cottage, lowfat, 2% milkfat",0.02,0.234,10,11,1.25,0,3.98,352,0,0.13,8.9,148,321,0.03,0.015,0.09,0.057,2.3,4.31,84,0,0,0,81.1,103,120,0.61,14.6,1.73,4.1
"Cheese, mozzarella, low moisture, part-skim",0.023,0.36,26,23.7,3.79,0,0.66,1240,0,0.2,27.2,533,699,0.035,0.035,0.101,0.09,20.4,4.44,298,0,0.3,0,47.7,693,116,3.62,26.7,3.71,1.81
"Egg, whole, dried",0,0,0,48.1,6.2,0,0,2410,0,6.97,44.6,770,485,0,0,0,0,39.8,1.87,575,0,0,0,4.07,220,468,5.02,0,7.69,0
"Egg, yolk, raw, frozen, pasteurized",0,0,0,15.6,2.65,0,0,1240,0,4.13,11.2,443,66,0,0.068,0,0,25.1,0.59,296,0,0,0,56.1,119,102,2.93,0,2.49,0
"Egg, yolk, dried",0,0,0,34.2,5.54,0,0,2740,0,9.28,26,982,149,0,0,0,0,55.5,1.07,654,0,0,0,3.64,270,231,7.11,0,5.48,0
"Yogurt, Greek, plain, nonfat",0.022,0.281,0,10.3,0.72,0,2.57,256,0,0.07,10.7,136,36,0.017,0.009,0.211,0.064,0.37,3.64,61,0,0,0,85,111,141,0.53,9.9,1.61,3.27
"Yogurt, Greek, strawberry, nonfat",0,0.25,20,8.06,0.59,2.09,2.46,347,0.6,0.09,10.4,113,32,0.02,0.034,0.208,0.05,0.15,12.2,83,5.56,0.84,0,79,97,133,0.46,9.8,0,11.5
"Oil, coconut",0,0,0,0,0.03,0,0,3480,0,0.05,0,0,0,0,0,0,0,99.1,0.84,833,0,0,0,0.03,1,0,0.02,0,0,0
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",0.088,0.18,0,23.9,0.98,0,0,652,0,0.94,22.4,184,117,0.063,0.018,5.05,0.372,5.95,0,156,0,0,0,69.9,12,239,2.54,27.9,3.83,0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",0.098,0.187,0,32.1,1.19,0,0,695,0,0.49,32,241,47,0.044,0.012,9.45,0.921,3.24,0,166,0,0,0,65.3,6,343,0.96,31.9,5.13,0
"Sauce, pasta, spaghetti/marinara, ready-to-serve",0,0,0,1.41,1.66,2.35,0,186,1.8,0.78,18.5,34,419,0.081,0.137,0,0,1.48,8.05,45,0.85,2.3,0,87.4,27,319,0.2,0,0.23,5.5
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",0,0,0,16.7,3.61,0,0,443,0,0.58,18.8,261,1040,0.05,0,0,0,3.73,0.27,106,0,0,0,75.7,5,425,1.52,0,2.67,0
"Olives, green, Manzanilla, stuffed with pimiento",0.041,0,0,1.15,4.29,0,0,543,4,0.31,12.4,7,1620,0.107,0.047,0.103,0,12.9,4.96,130,0,0,0,76.7,121,43,0.09,0,0.18,0
"Cookies, oatmeal, soft, with raisins",0.295,0.218,34,5.79,1.44,11.1,0,1800,3.3,2.28,32.4,111,314,0.141,0.755,2.11,0.07,14.3,69.6,430,15.1,7.58,1.01,8.85,29,245,0.62,6,0.93,34.8
"Tomatoes, canned, red, ripe, diced",0,0,0,0.84,0.74,1.49,0,76,0,0.57,9.8,18,125,0.052,0.068,0,0,0.5,3.32,18,0,1.5,0,94.6,30,198,0.12,0,0.14,2.99
"Fish, haddock, raw",0.02,0.057,0,16.3,1.28,0,0,308,0,0.17,21.1,227,213,0.021,0.011,3.36,0.281,0.45,0,74,0,0,0,83.4,11,286,0.32,25.9,2.61,0
"Fish, pollock, raw",0.03,0.08,0,12.3,1.36,0,0,235,0,0.22,16.1,284,333,0.031,0.011,0.653,0.069,0.41,0,56,0,0,0,86.7,15,160,0.31,15.9,1.97,0
"Fish, tuna, light, canned in water, drained solids",0.03,0.082,0,19,0.98,0,0,376,0,1.67,22.7,137,219,0.048,0.019,9.92,0.32,0.94,0.08,90,0,0,0,79,18,176,0.66,67.8,3.04,0
"Restaurant, Chinese, fried rice, without meat",0,0,0,3.84,1.13,0.12,0,729,0,0.46,9.7,44,361,0.086,0.428,0,0,3.19,32.5,174,0.37,0.12,0,59.3,11,69,0.69,0,0.61,0.62
"Restaurant, Latino, tamale, pork",0.04,0.05,0,7.38,1.82,0.21,0,728,2.4,0.87,26.2,120,473,0.05,0.186,1.29,0.132,9.04,15.8,174,0.24,0,0,66,75,152,1.2,9.8,1.18,0.46
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",0.077,0.03,0,5.59,1.74,0.22,0,959,5.8,1.46,53.6,144,305,0.141,0.344,0.867,0.172,9.01,31.5,229,0.76,0,0.32,52.2,51,305,0.94,7,0.9,1.3
"Bread, whole-wheat, commercially prepared",0.391,0.166,42,12.3,2.36,2.24,0.01,1060,6,2.56,76.6,212,450,0.226,2.18,4.43,0.216,3.55,43.1,254,0.03,1.1,1.03,38.7,163,250,1.76,25.8,1.97,4.41
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",0,0.4,0,27.7,1.22,0,0,735,0,3.04,13.7,259,54,0.097,0.008,5.76,0.67,6.36,0,176,0,0,0,65.7,13,352,3.7,25.4,0,0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0.053,0.202,0,22.8,1.01,0,0,648,0,1.9,11.3,206,45,0.043,0.002,6.88,0.575,6.39,0,155,0,0,0,69.9,15,282,3.76,21.3,0,0
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0,0.185,0,23.4,1.08,0,0,512,0,1.37,11.4,222,50,0.035,0.002,6.58,0.638,2.48,0,122,0,0,0,73.7,13,312,3.38,22.2,0,0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.064,0.25,0,23.7,1.11,0,0,514,0,2.34,11.9,220,55,0.047,0.003,6.16,0.626,2.41,0,123,0,0,0,73.3,13,316,3.54,22.7,0,0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",0,0.23,0,22.7,1.02,0,0,606,0,2.26,10.7,200,43,0.075,0.003,5.32,0.751,5.32,0,145,0,0,0,71.4,19,266,3.52,21.4,0,0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0,0.27,0,27.3,1.02,0,0,918,0,3.53,20,211,67,0.078,0.003,6.37,0.753,11.4,0,219,0,0,0,60.3,19,283,4.69,29.7,0,0
"Carrots, frozen, unprepared",0.039,0.047,7,0.81,0.72,1.05,0,153,3.2,0.43,10.8,31,66,0.08,0.143,0.465,0.088,0.47,7.92,37,2.31,0.84,0,90.1,33,210,0.28,0,0.13,4.2
"Cheese, dry white, queso seco",0.038,0.23,0,24.5,6.93,0,0.12,1360,0,0.18,26.7,475,1810,0.027,0.018,0.083,0.091,24.3,2.07,326,0,0,0,42.2,661,116,3.28,22.4,3.84,0.43
"Cheese, ricotta, whole milk",0.043,0.327,4,7.81,1.36,0,0,657,0,0.1,19.7,162,105,0,0,0.168,0.099,11,6.86,157,0,0,0,72.9,224,230,0.56,5.5,1.22,0
"Cheese, swiss",0.011,0.303,9,27,2.97,0,0,1640,0,0.13,33.4,574,185,0.047,0.027,0.06,0.07,31,1.44,393,0,0,0,37.6,890,71,4.37,30.1,4.23,0
"Figs, dried, uncooked",0.085,0.082,9,3.3,1.86,22.9,0,1040,9.8,2.03,67.6,67,10,0.287,0.51,0.619,0.106,0.92,63.9,249,0.07,24.8,0,30,162,680,0.66,0.6,0.53,47.9
"Lettuce, cos or romaine, raw",0.079,0.072,50,1.24,0.55,0.8,0,70,1.8,0.95,13.7,30,0,0.048,0.127,0.323,0.078,0.26,3.24,17,0,0.39,0,94.7,35,253,0.25,0.4,0.2,1.19
"Melons, cantaloupe, raw",0.049,0.027,14,0.82,0.63,2.4,0,141,0.8,0.38,13,17,30,0.085,0.046,0.694,0.04,0.18,8.16,34,3.32,2.08,0.02,90.2,9,157,0.44,1.7,0.13,7.88
"Oranges, raw, navels",0.068,0.051,25,0.91,0.43,2.36,0,196,2,0.33,10.7,23,9,0.064,0.029,0.425,0.079,0.15,11.8,47,4.19,2.02,0,86.7,43,166,0.11,0,0.14,8.57
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0.057,0.14,2,3.38,0.8,0,4.96,179,0,0,12,103,39,0.001,0,0.113,0.06,0.95,5.18,43,0,0,0,89.7,126,159,0.43,2.1,0.53,4.96
"Pears, raw, bartlett",0.012,0.026,6,0.38,0.3,6.76,0,238,3.1,0.17,5.7,10,7,0.07,0.032,0.164,0.026,0.16,15.1,57,0.43,2.5,0,84.1,8,87,0.07,0.2,0.06,9.69
"Restaurant, Chinese, sweet and sour pork",0.235,0.103,0,8.88,1.25,2.85,0,1090,1,3.07,13,133,304,0.06,0.173,2.11,0.17,13.6,25.5,260,4.47,3.01,0,50.8,46,152,1.07,9.7,1.42,10.3
"Salt, table, iodized",0,0,0,0,99,0,0,0,0,0,0,0,38700,0,0.032,0,0,0,0,0,0,0,0,0.42,50,2,0,0,0,0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.056,0.131,2,3.43,0.77,0,5.05,144,0,0,12.5,107,41,0.002,0.001,0.118,0.058,0.08,4.92,34,0,0,0,90.8,132,167,0.45,2,0.54,5.05
"Sauce, salsa, ready-to-serve",0.035,0,0,1.44,2.3,1.98,0,122,1.8,0.42,15.2,32,656,0.065,0.11,1.12,0.176,0.19,6.74,29,0.2,1.63,0,89.3,28,258,0.2,0,0.23,3.81
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0.059,0.137,2,3.36,0.75,0,4.89,209,0,0,12,103,39,0.001,0.001,0.112,0.061,1.9,4.9,50,0,0,0,89.1,126,159,0.43,1.8,0.53,4.89
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",0.054,0.132,0,13.3,2.97,0,0,1370,0,1.55,19.7,124,866,0.075,0.174,2.43,0.15,28.7,3.37,328,0,1,0,51.7,35,263,2.14,11.6,2.13,1
"Sausage, Italian, pork, mild, cooked, pan-fried",0.31,0.242,0,18.2,2.63,0,0,1350,0,1.29,18.6,145,766,0.074,0.033,5.73,0.343,26.2,2.15,322,0,1.46,0,50.9,12,310,2.41,20.2,2.91,1.46
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0.365,0.42,10,19.3,3.66,0,0,1450,0,2.34,30.1,207,983,0.13,0.188,7.06,0.554,28.1,2.63,346,0,0,0,46.3,37,435,2.19,25.9,3.09,0
"Milk, whole, 3.25% milkfat, with added vitamin D",0.056,0.138,0,3.27,0.8,0,4.81,251,0,0,11.9,101,38,0.001,0,0.105,0.061,3.2,4.63,60,0,0,0,88.1,123,150,0.42,1.9,0.51,4.81
"Sausage, turkey, breakfast links, mild, raw",0.047,0.296,0,16.7,2.37,0,0,706,0,1.17,18.9,178,599,0.07,0.035,5.02,0.335,10.4,0.93,169,0,0,0,69.6,32,310,2.58,12.5,2.67,0
"Sugars, granulated",0,0,0,0,0.07,0,0,1610,0,0.05,0.3,0,1,0.007,0.004,0,0,0.32,99.6,385,99.8,0,0,0.02,1,2,0.01,0,0,99.8
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",0.088,0.262,0,27.1,1.27,0,0,922,0,1.56,29.1,259,90,0.166,0.01,8.09,0.497,11.6,0,220,0,0,0,61.1,31,304,3.77,28.4,4.34,0
"Ham, sliced, restaurant",0,0,0,19.6,3.63,0,0,507,0,0.86,20.3,246,1030,0.041,0.015,0,0,3.68,2.36,121,0.4,1.8,0,70.7,6,484,1.76,0,3.14,2.2
"Cheese, American, restaurant",0,0,0,17.5,5.57,0,3.62,1570,0,0.24,25,380,1600,0.042,0.018,0,0,31.1,6.35,375,0,0.01,0,39.5,508,173,2.45,0,2.74,3.76
"Beans, Dry, Medium Red (0% moisture)",0,0,0,25.5,0,0,0,0,4.3,6.27,178,548,0,1.04,2.05,0,0,1.04,0,0,0,0,0,0,193,1490,3.82,0,0,0
"Beans, Dry, Red (0% moisture)",0,0,0,21.3,0,0,0,0,4,5.05,152,380,0,0.959,1.93,0,0,1.16,0,0,0,0,0,0,148,1540,2.84,0,0,0
"Beans, Dry, Flor de Mayo (0% moisture)",0,0,0,23.3,0,0,0,0,4,4.47,182,439,0,0.864,1.7,0,0,0.86,0,0,0,0,0,0,180,1490,3.42,0,0,0
"Beans, Dry, Brown (0% moisture)",0,0,0,25.6,0,0,0,0,4.1,4.7,158,543,0,1.03,1.87,0,0,1.12,0,0,0,0,0,0,158,1580,3.71,0,0,0
"Beans, Dry, Tan (0% moisture)",0,0,0,26.8,0,0,0,0,4.4,5.85,198,555,0,1.1,2.16,0,0,1.14,0,0,0,0,0,0,178,1620,3.5,0,0,0
"Beans, Dry, Light Tan (0% moisture)",0,0,0,24.6,0,0,0,0,4.3,7.29,178,571,0,0.932,1.69,0,0,1.28,0,0,0,0,0,0,98,1230,3.23,0,0,0
"Beans, Dry, Carioca (0% moisture)",0,0,0,25.2,0,0,0,0,4.5,5.87,179,535,0,1.04,1.93,0,0,1.44,0,0,0,0,0,0,194,1390,3.36,0,0,0
"Beans, Dry, Cranberry (0% moisture)",0,0,0,24.4,0,0,0,0,4.3,5.26,166,487,0,0.757,1.78,0,0,1.23,0,0,0,0,0,0,152,1340,3.03,0,0,0
"Beans, Dry, Light Red Kidney (0% moisture)",0,0,0,25,0,0,0,0,4.5,6.95,158,549,0,0.786,1.52,0,0,1.03,0,0,0,0,0,0,103,1540,3.5,0,0,0
"Beans, Dry, Pink (0% moisture)",0,0,0,23.4,0,0,0,0,4.1,5.46,164,491,0,0.947,1.7,0,0,1.2,0,0,0,0,0,0,137,1490,3.26,0,0,0
"Beans, Dry, Dark Red Kidney (0% moisture)",0,0,0,25.9,0,0,0,0,4.3,6.58,164,612,0,0.865,1.67,0,0,1.31,0,0,0,0,0,0,98,1490,3.29,0,0,0
"Beans, Dry, Navy (0% moisture)",0,0,0,24.1,0,0,0,0,4.3,5.29,180,523,0,1.14,2.22,0,0,1.51,0,0,0,0,0,0,229,1470,3.31,0,0,0
"Beans, Dry, Small White (0% moisture)",0,0,0,24.5,0,0,0,0,4.3,4.93,182,533,0,1.05,2.07,0,0,1.32,0,0,0,0,0,0,236,1540,3.54,0,0,0
"Beans, Dry, Small Red (0% moisture)",0,0,0,23.5,0,0,0,0,4.1,4.95,167,493,0,0.968,1.76,0,0,1.28,0,0,0,0,0,0,149,1520,3.23,0,0,0
"Beans, Dry, Black (0% moisture)",0,0,0,24.4,0,0,0,0,4.2,5.34,180,522,0,1.12,2.08,0,0,1.45,0,0,0,0,0,0,191,1540,3.37,0,0,0
"Beans, Dry, Pinto (0% moisture)",0,0,0,23.7,0,0,0,0,4.1,5.4,170,507,0,0.978,1.78,0,0,1.24,0,0,0,0,0,0,161,1510,3.43,0,0,0
"Beans, Dry, Great Northern (0% moisture)",0,0,0,24.7,0,0,0,0,4.3,5.48,176,519,0,1.08,1.9,0,0,1.24,0,0,0,0,0,0,192,1520,3.45,0,0,0
"Broccoli, raw",0.077,0.114,65,2.57,0.83,0.82,0,132,2.4,0.69,21,67,36,0.059,0.197,0.639,0.191,0.34,6.27,31,0.01,0.58,0,90,46,303,0.42,1.6,0.41,1.4
"Ketchup, restaurant",0,0,0,1.11,3.02,8.94,0,488,0,0.43,13.5,25,949,0.066,0.086,0,0,0.55,26.8,117,0,11.4,1.48,68.5,14,249,0.16,0,0.18,21.8
"Eggs, Grade A, Large, egg white",0,0.391,0,10.7,0.65,0,0,231,0,0,0,0,0,0,0,0,0,0,2.36,55,0,0,0,86.3,0,0,0,17.9,1.71,0
"Eggs, Grade A, Large, egg yolk",0,0.467,0,16.2,1.89,0,0,1400,0,0,0,0,0,0,0,0,0,28.8,1.02,334,0,0,0,52.1,0,0,0,55.8,2.59,0
"Eggs, Grade A, Large, egg whole",0.077,0.419,71,12.4,0.85,0,0,617,0,1.67,11.4,184,129,0,0,0,0.063,9.96,0.96,148,0,0.2,0,75.8,48,132,1.24,31.1,1.99,0.2
"Pork, cured, bacon, cooked, restaurant",0,0,0,40.9,6.33,0.01,0,2090,0,1.28,36.5,415,1830,0.13,0.02,0,0,36.5,2.1,500,3.09,0.04,0,14.2,13,557,3.56,0,6.54,3.14
"Butter, stick, unsalted",0,0,0,0,0,0,0,0,0,0.03,1.6,19,10,0.001,0,0,0,81.5,0,0,0,0,0,17.4,14,19,0.07,0,0,0
